condition_id,split,target_volume,load_y_fraction,load_angle_deg,iterations,converged,final_change,terminal_compliance,runtime_seconds
0,train,0.3,0.25,-105.0,309,1,0.007854647123616276,333.38224129232333,60.15303062000021
1,train,0.3,0.25,-90.0,145,1,0.009543824290716874,339.3523250326812,35.21920861199942
2,val,0.3,0.25,-75.0,259,1,0.00974437046503318,298.3107762257903,63.542239766999046
3,train,0.3,0.5,-105.0,324,1,0.009530351525241842,313.57995331981687,69.34672766199947
4,test,0.3,0.5,-90.0,158,1,0.009388502847300306,335.696609631771,35.10725571900002
5,train,0.3,0.5,-75.0,324,1,0.009530351456629949,313.57995331757894,48.9092634360004
6,train,0.3,0.75,-105.0,259,1,0.009744370415360748,298.310776194335,41.736106303998895
7,train,0.3,0.75,-90.0,145,1,0.00954382440422763,339.35232503875915,20.385359992000303
8,train,0.3,0.75,-75.0,309,1,0.007854646545826016,333.3822412918877,60.86654835800073
9,train,0.4,0.25,-105.0,139,1,0.009881079546085969,237.0889085227567,29.06219020900062
10,test,0.4,0.25,-90.0,162,1,0.009685426634003902,240.0925675069999,27.804819713999677
11,test,0.4,0.25,-75.0,182,1,0.009460696370481247,210.50713035938023,29.109009412999512
12,train,0.4,0.5,-105.0,135,1,0.009304505407741748,218.5745153955665,24.961040714000774
13,train,0.4,0.5,-90.0,77,1,0.009611734701605146,233.55003857920076,11.27225800999986
14,train,0.4,0.5,-75.0,135,1,0.009304505328243451,218.5745153956005,24.89125059900107
15,train,0.4,0.75,-105.0,182,1,0.009460695893684867,210.50713036039963,25.328023756999755
16,train,0.4,0.75,-90.0,162,1,0.00968542676043177,240.09256750761173,32.794479530999524
17,train,0.4,0.75,-75.0,139,1,0.009881079545386084,237.08890852261482,33.19964953999988
18,train,0.5,0.25,-105.0,217,1,0.009836935859794727,187.36112045680213,48.78948064299948
19,test,0.5,0.25,-90.0,281,1,0.004361265258880642,189.17763912368275,57.37341721999837
20,val,0.5,0.25,-75.0,247,1,0.009235153007292829,166.50938305242065,61.197144940000726
21,train,0.5,0.5,-105.0,161,1,0.00854466794279607,173.4783641763816,33.91779420500097
22,train,0.5,0.5,-90.0,254,1,0.009991525682538582,186.0190996363284,53.47057128599954
23,val,0.5,0.5,-75.0,161,1,0.008544681679742983,173.4783641604497,46.06936447100088
24,train,0.5,0.75,-105.0,247,1,0.00923514434079975,166.5093830812449,53.26278933299909
25,val,0.5,0.75,-90.0,281,1,0.004361256413394188,189.17763921435184,72.05659401600133
26,test,0.5,0.75,-75.0,217,1,0.009836935810462522,187.3611204569706,49.966190922999886
