condition_id,candidate_index,target_volume,load_y_fraction,load_angle_deg,compliance,volume_fraction,volume_error,relative_residual,binarity,connected_at_0_5
4,0,0.30000001192092896,0.5,-90.0,4403.224719551559,0.2999999452537547,6.666717428105429e-08,2.0435863746562843e-12,0.83993162082932,0
4,1,0.30000001192092896,0.5,-90.0,4437.17329046413,0.30000010893369716,9.701276820761606e-08,2.121823532827372e-12,0.8399448124280094,0
4,2,0.30000001192092896,0.5,-90.0,4416.594757932603,0.3000000092045714,2.7163575277988627e-09,2.1839741354448766e-12,0.839927361900985,0
4,3,0.30000001192092896,0.5,-90.0,4431.170678261579,0.3000000250370552,1.3116126240664272e-08,2.0409957734011583e-12,0.8399146335898696,0
4,4,0.30000001192092896,0.5,-90.0,17696.873001350134,0.3000000355920444,2.367111545664713e-08,2.2410042464241437e-12,0.6622820760086569,0
4,5,0.30000001192092896,0.5,-90.0,4443.936533767575,0.3000000269773106,1.5056381641453953e-08,2.2246885962285216e-12,0.8398582767758097,0
4,6,0.30000001192092896,0.5,-90.0,4436.83275265749,0.3000000573617096,4.544078063828394e-08,2.2571445170935674e-12,0.8399045429350632,0
4,7,0.30000001192092896,0.5,-90.0,4342.919210972251,0.299999926937744,8.498318493366241e-08,2.081331038152153e-12,0.8398966958576928,0
4,8,0.30000001192092896,0.5,-90.0,4450.698672107641,0.30000004994993407,3.802900511162832e-08,2.149436717141871e-12,0.8398894688258173,0
4,9,0.30000001192092896,0.5,-90.0,4373.336259400182,0.30000004125759006,2.9336661100387573e-08,1.965932285092444e-12,0.8399274076917115,0
4,10,0.30000001192092896,0.5,-90.0,4461.8831315741,0.30000001459848136,2.6775524020195007e-09,2.1970540019570157e-12,0.8399197605980963,0
4,11,0.30000001192092896,0.5,-90.0,4457.7062099328605,0.2999999348539859,7.706694304943085e-08,2.09721102956254e-12,0.8399102172771635,0
4,12,0.30000001192092896,0.5,-90.0,4399.98832227527,0.3000000272489463,1.5328017355376033e-08,2.2128795956786464e-12,0.8399317775577883,0
4,13,0.30000001192092896,0.5,-90.0,4423.771100360843,0.30000001421043027,2.2895013107593343e-09,2.077735436543959e-12,0.8399192116499057,0
4,14,0.30000001192092896,0.5,-90.0,4432.717359886132,0.3000000402486573,2.8327728329724522e-08,2.1350180688113045e-12,0.8398962270657502,0
4,15,0.30000001192092896,0.5,-90.0,4434.787760868165,0.30000000338380534,8.537123619145603e-09,2.290694012341583e-12,0.8398656628984011,0
10,0,0.4000000059604645,0.25,-90.0,1865.0029810385302,0.39999998892502237,1.7035442112511845e-08,2.089538420949715e-12,0.9599357544980629,0
10,1,0.4000000059604645,0.25,-90.0,1875.578121835069,0.3999999831818665,2.277859795229986e-08,2.183285706128808e-12,0.9599355589681395,0
10,2,0.4000000059604645,0.25,-90.0,1869.0471896699605,0.3999999207444489,8.521601557731628e-08,2.32426438640276e-12,0.9599134584149814,0
10,3,0.4000000059604645,0.25,-90.0,1872.596144183563,0.3999999176788454,8.828161907059595e-08,2.2071947532053502e-12,0.9599485989762009,0
10,4,0.4000000059604645,0.25,-90.0,1868.0550311830193,0.40000001007380587,4.1133413897220805e-09,2.2245255526696898e-12,0.9599314130935506,0
10,5,0.4000000059604645,0.25,-90.0,1854.6444535310773,0.3999999943965425,1.1563921986645909e-08,2.253552769277009e-12,0.9599279021043321,0
10,6,0.4000000059604645,0.25,-90.0,1865.9990072649039,0.40000004922815907,4.326769459384039e-08,2.3614505744836855e-12,0.9599285023930036,0
10,7,0.4000000059604645,0.25,-90.0,1856.3780163781328,0.4000000757320474,6.977158290011332e-08,2.040110906019278e-12,0.9599082014352559,0
10,8,0.4000000059604645,0.25,-90.0,1712.408500581325,0.3999999323859811,7.35744833946228e-08,1.8633839983781823e-12,0.9593852791800354,0
10,9,0.4000000059604645,0.25,-90.0,1517.149249599296,0.40000002454811084,1.8587646366530208e-08,1.669461830065875e-12,0.9569162231706411,0
10,10,0.4000000059604645,0.25,-90.0,1873.9192933836237,0.39999998873099685,1.7229467630386353e-08,2.1028044499007993e-12,0.9599135529885302,0
10,11,0.4000000059604645,0.25,-90.0,1863.3805238621399,0.40000010223593563,9.627547115087509e-08,2.2243196193985895e-12,0.9599035597825036,0
10,12,0.4000000059604645,0.25,-90.0,1875.5457403624368,0.39999996121817577,4.474228870732233e-08,2.192520266778026e-12,0.9599318723103366,0
10,13,0.4000000059604645,0.25,-90.0,1869.3127342847117,0.4000001021971305,9.623666602509573e-08,2.2603534126774505e-12,0.9599482339064949,0
10,14,0.4000000059604645,0.25,-90.0,1646.8365039227174,0.40000000192473334,4.0357311381633565e-09,1.779557027967771e-12,0.9579130660939877,0
10,15,0.4000000059604645,0.25,-90.0,1889.7658441358349,0.39999991523412365,9.072634082896158e-08,2.4012962404685393e-12,0.9598631485377401,0
11,0,0.4000000059604645,0.25,-74.99999987994416,1638.644952240546,0.39999991449682665,9.14636378301914e-08,2.011448169426352e-12,0.9599331997951523,0
11,1,0.4000000059604645,0.25,-74.99999987994416,1655.854320101,0.3999999296308185,7.632964599268988e-08,2.0304596841965618e-12,0.9599018852677852,0
11,2,0.4000000059604645,0.25,-74.99999987994416,1653.179636460034,0.39999993110541254,7.485505193471909e-08,2.1895325517632794e-12,0.9598862647220913,0
11,3,0.4000000059604645,0.25,-74.99999987994416,1642.4094175736186,0.3999999928831433,1.3077321170396061e-08,1.9329541824686563e-12,0.9599075337804196,0
11,4,0.4000000059604645,0.25,-74.99999987994416,68747.60627219228,0.39999996036446345,4.5596001030379085e-08,1.56430502573126e-12,0.7265241986566354,0
11,5,0.4000000059604645,0.25,-74.99999987994416,1652.2981655348185,0.40000009909272194,9.313225746154785e-08,2.2004629104676667e-12,0.9598931861736816,0
11,6,0.4000000059604645,0.25,-74.99999987994416,1637.7781940509585,0.39999994402751327,6.193295121192932e-08,1.9726838773007143e-12,0.9598912137809789,0
11,7,0.4000000059604645,0.25,-74.99999987994416,1633.6625358361216,0.39999992908754695,7.687291753155634e-08,2.1976718675452764e-12,0.9598609646445272,0
11,8,0.4000000059604645,0.25,-74.99999987994416,1546.10785634809,0.39999995989880216,4.6061662317686825e-08,1.9281242653592452e-12,0.9596341118142172,0
11,9,0.4000000059604645,0.25,-74.99999987994416,1660.5702915939999,0.39999998756684363,1.83936208486557e-08,2.02607590819711e-12,0.9598936377002172,0
11,10,0.4000000059604645,0.25,-74.99999987994416,760.4270815119962,0.4000001047582676,9.87978031052883e-08,1.6965533951818547e-12,0.6186754025309021,0
11,11,0.4000000059604645,0.25,-74.99999987994416,26905.018732150405,0.400000101653859,9.569339454174042e-08,1.556582396441163e-12,0.7145734995590299,0
11,12,0.4000000059604645,0.25,-74.99999987994416,1655.8853388670727,0.3999999193086599,8.665180456501886e-08,1.8452486748107534e-12,0.9599041486511016,0
11,13,0.4000000059604645,0.25,-74.99999987994416,1468.6681499940107,0.39999997468354803,3.12769164456661e-08,1.6893804532270368e-12,0.9586469937479909,0
11,14,0.4000000059604645,0.25,-74.99999987994416,977.5368597497046,0.40000010196429986,9.600383538144186e-08,1.286629176259588e-12,0.8006884773413553,0
11,15,0.4000000059604645,0.25,-74.99999987994416,1651.6578255404788,0.399999991680185,1.428027945893362e-08,2.0227173725827773e-12,0.9599113051758317,0
19,0,0.5,0.25,-90.0,617.152716765465,0.5000000011253481,1.1253481480011374e-09,1.2465677681682498e-12,0.9789789644036097,0
19,1,0.5,0.25,-90.0,788.8104569048958,0.5000000151339918,1.5133991837501526e-08,1.7767000727718637e-12,0.9946760772138735,0
19,2,0.5,0.25,-90.0,946.9740766474167,0.5000000982933367,9.82933366922012e-08,2.2108369733616914e-12,0.9999300694048431,0
19,3,0.5,0.25,-90.0,923.0742008475169,0.4999999196346228,8.036537718636438e-08,2.168670586459952e-12,0.999398006543899,0
19,4,0.5,0.25,-90.0,940.0805477986622,0.4999999910360202,8.96397978067398e-09,2.1520202251755736e-12,0.9999352790709204,0
